0	654	776	690	769	824	903	1055	1028	1090	906	994	1113	1117	1228	1098	1370	1246	1397	1724	1583	1356	1633	1499	1406	1560	2040	1858	2036	2103	
1	33	41	35	44	67	104	60	100	102	44	90	155	131	171	137	161	143	152	243	145	83	129	226	190	238	344	265	265	241	
4	11	0	7	3	3	8	2	7	4	1	4	3	3	3	11	3	44	54	70	88	58	79	33	119	49	150	49	87	178	
5	58	128	58	123	87	84	104	117	179	138	101	145	55	113	102	189	118	213	135	154	102	194	143	143	126	193	168	227	205	
6	132	145	154	100	96	109	74	83	97	82	98	100	191	104	100	117	120	106	135	96	148	178	87	145	170	113	189	131	122	
10	0	0	0	0	0	0	30	0	31	2	8	18	31	17	21	35	24	8	36	33	7	30	55	21	32	17	16	39	62	
11	24	24	18	16	46	33	37	33	31	33	43	63	58	49	57	31	29	45	78	37	77	54	39	21	45	76	34	74	109	
13	0	25	10	1	15	9	61	25	36	37	49	53	57	50	65	47	39	59	60	21	47	73	34	70	78	87	46	69	78	
15	38	54	37	45	50	92	104	118	93	82	77	55	85	94	61	65	67	74	80	81	68	55	62	68	71	86	92	100	74	
18	40	38	50	53	70	53	73	39	32	55	65	75	35	40	58	35	52	62	46	60	79	90	81	30	29	46	114	81	85	
19	68	73	74	67	41	78	90	72	38	71	87	58	50	72	62	88	96	118	119	101	63	86	98	44	77	69	140	71	62	
21	0	12	15	15	14	21	17	17	28	36	30	23	33	13	29	41	26	32	38	23	29	21	14	17	10	13	16	11	7	
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	49	18	33	62	
24	70	59	47	73	81	100	125	90	81	49	51	27	40	47	18	65	88	77	77	139	45	56	45	52	67	80	66	34	49	
25	4	0	1	0	1	1	1	4	1	3	15	20	13	18	16	34	13	18	52	12	26	32	21	27	22	22	26	32	34	
38	24	3	10	1	5	8	13	3	13	1	16	15	4	12	3	13	14	22	15	27	23	41	26	12	11	30	20	17	37	
39	5	0	2	1	2	0	0	0	0	0	0	3	0	1	4	0	0	0	1	0	5	1	1	0	1	6	3	2	1	
43	0	0	1	3	2	1	0	1	2	2	5	1	3	7	2	1	4	3	8	2	12	8	10	4	16	5	6	20	15	
45	21	24	31	83	46	34	33	23	27	40	49	12	11	26	44	43	43	46	53	53	30	27	43	24	56	35	40	37	42	
47	4	4	2	3	3	1	4	14	4	3	4	1	3	6	3	36	17	7	8	1	17	1	16	18	9	35	11	27	27	
50	20	20	8	8	15	7	2	24	11	16	13	14	18	14	20	8	16	9	15	9	11	6	4	22	16	15	5	16	16	
52	10	11	1	0	11	4	17	12	28	3	10	33	9	25	11	25	11	22	26	17	18	23	2	22	16	28	20	27	16	
57	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	6	6	4	5	7	12	7	11	8	10	35	28	20	18	
73	8	5	4	4	5	6	2	6	15	13	6	0	2	3	15	18	8	5	9	11	35	19	16	17	35	27	35	33	32	
75	14	31	37	23	36	28	40	42	38	47	39	15	4	34	33	34	48	28	28	31	26	53	23	37	29	17	37	50	40	
76	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	2	5	3	
77	0	0	3	10	1	4	0	5	3	1	6	2	17	6	2	6	3	8	10	8	6	2	10	10	2	10	8	29	14	
82	0	0	8	3	0	0	0	9	13	0	0	0	13	16	0	24	2	0	39	23	1	9	17	7	34	44	9	25	16	
84	0	0	0	0	0	2	4	0	10	0	0	0	3	6	6	2	4	11	10	11	6	8	6	2	16	9	18	10	15	
87	0	0	0	0	0	2	2	0	2	3	3	0	11	2	0	6	5	5	0	13	5	12	14	7	5	17	15	8	10	
88	6	2	2	2	7	0	5	12	1	6	2	4	3	5	3	7	3	0	7	1	9	10	1	10	0	12	3	13	5	
89	0	0	2	0	0	1	0	7	5	5	0	3	7	13	1	0	3	5	10	23	8	19	17	21	19	14	5	25	23	
104	4	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	5	1	8	1	1	1	11	9	3	4	
105	0	0	0	1	1	0	0	0	0	0	0	0	2	0	3	0	0	0	1	1	6	3	0	1	0	4	3	11	8	
107	0	4	11	11	12	0	7	10	14	9	30	6	11	11	2	11	23	18	14	1	7	24	10	10	27	13	6	27	15	
109	0	7	7	2	5	9	0	11	16	1	0	0	4	7	3	11	0	1	4	18	6	3	22	2	9	15	16	6	13	
121	0	0	1	6	4	5	1	7	0	2	0	2	5	0	0	7	4	0	8	6	7	11	11	3	4	8	2	16	17	
122	0	0	0	1	6	3	13	8	25	0	1	30	27	27	9	47	8	27	22	35	8	31	39	23	19	26	21	16	27	
125	8	1	0	5	3	1	0	3	1	3	1	12	2	4	8	5	6	9	22	8	8	18	3	8	9	6	5	16	8	
129	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
136	0	0	0	0	1	2	2	0	2	4	2	3	4	9	8	2	2	4	6	7	6	2	4	2	5	21	6	15	21	
138	1	1	0	5	5	6	3	5	1	3	0	5	0	4	3	0	2	5	5	5	5	4	0	2	6	4	6	12	9	
139	26	14	14	13	21	16	24	15	9	19	11	18	13	17	15	12	13	20	16	15	22	20	21	16	10	11	19	16	7	
150	8	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	1	8	2	9	4	8	3	0	6	5	1	3	
153	15	9	9	8	6	0	7	1	3	4	1	18	5	0	0	2	0	0	11	4	14	10	6	11	6	7	4	14	11	
156	8	5	4	4	11	11	12	19	5	17	9	11	5	11	8	11	4	15	16	12	24	18	24	24	19	22	13	20	16	
158	0	1	2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
163	16	15	22	10	19	17	17	13	10	8	11	12	34	27	25	22	24	28	20	21	15	15	29	30	21	28	29	11	38	
167	6	16	3	2	3	2	8	9	6	3	5	3	2	4	3	1	3	2	4	7	6	7	10	2	4	5	13	11	11	
